# Source Data for Fig. 7a: independent leakage model, k1 = k2 = k = 1
# Recomputed from the closed forms in the paper, not from the co-author's code.
# Input state alpha = sqrt(0.6), beta = sqrt(0.4).
time,gamma,expected_holevo_bits,eve_fidelity
3.880,0.1,0.0194445835,0.9777770278
3.890,0.1,0.0192513280,0.9778532442
3.900,0.1,0.0190599911,0.9779286924
3.910,0.1,0.0188705538,0.9780033801
3.920,0.1,0.0186829971,0.9780773151
3.930,0.1,0.0184973025,0.9781505050
3.940,0.1,0.0183134516,0.9782229576
3.950,0.1,0.0181314261,0.9782946803
3.960,0.1,0.0179512078,0.9783656805
3.970,0.1,0.0177727790,0.9784359656
3.980,0.1,0.0175961218,0.9785055429
3.990,0.1,0.0174212187,0.9785744196
4.000,0.1,0.0172480524,0.9786426028
4.010,0.1,0.0170766055,0.9787100996
4.020,0.1,0.0169068612,0.9787769170
4.030,0.1,0.0167388024,0.9788430619
4.040,0.1,0.0165724125,0.9789085412
4.050,0.1,0.0164076750,0.9789733616
4.060,0.1,0.0162445735,0.9790375297
4.070,0.1,0.0160830918,0.9791010524
4.080,0.1,0.0159232137,0.9791639360
4.090,0.1,0.0157649235,0.9792261872
4.100,0.1,0.0156082054,0.9792878123
4.110,0.1,0.0154530437,0.9793488176
4.120,0.1,0.0152994231,0.9794092096
4.130,0.1,0.0151473283,0.9794689944
4.140,0.1,0.0149967441,0.9795281782
4.150,0.1,0.0148476557,0.9795867670
4.160,0.1,0.0147000480,0.9796447670
4.170,0.1,0.0145539066,0.9797021841
4.180,0.1,0.0144092167,0.9797590242
4.190,0.1,0.0142659641,0.9798152932
4.200,0.1,0.0141241345,0.9798709969
4.210,0.1,0.0139837138,0.9799261409
4.220,0.1,0.0138446879,0.9799807310
4.230,0.1,0.0137070431,0.9800347728
4.240,0.1,0.0135707657,0.9800882719
4.250,0.1,0.0134358421,0.9801412337
4.260,0.1,0.0133022588,0.9801936637
4.270,0.1,0.0131700027,0.9802455672
4.280,0.1,0.0130390605,0.9802969497
4.290,0.1,0.0129094191,0.9803478163
4.300,0.1,0.0127810658,0.9803981724
4.310,0.1,0.0126539876,0.9804480230
4.320,0.1,0.0125281720,0.9804973734
4.330,0.1,0.0124036064,0.9805462284
4.340,0.1,0.0122802785,0.9805945933
4.350,0.1,0.0121581759,0.9806424728
4.360,0.1,0.0120372865,0.9806898720
4.370,0.1,0.0119175983,0.9807367957
4.380,0.1,0.0117990993,0.9807832487
4.390,0.1,0.0116817777,0.9808292358
4.400,0.1,0.0115656219,0.9808747616
4.410,0.1,0.0114506203,0.9809198308
4.420,0.1,0.0113367614,0.9809644481
4.430,0.1,0.0112240340,0.9810086180
4.440,0.1,0.0111124267,0.9810523450
4.450,0.1,0.0110019284,0.9810956337
4.460,0.1,0.0108925282,0.9811384883
4.470,0.1,0.0107842151,0.9811809134
4.480,0.1,0.0106769784,0.9812229132
4.490,0.1,0.0105708074,0.9812644921
4.500,0.1,0.0104656915,0.9813056543
4.510,0.1,0.0103616201,0.9813464039
4.520,0.1,0.0102585831,0.9813867452
4.530,0.1,0.0101565700,0.9814266823
4.540,0.1,0.0100555708,0.9814662193
4.550,0.1,0.0099555754,0.9815053601
4.560,0.1,0.0098565737,0.9815441089
4.570,0.1,0.0097585560,0.9815824695
4.580,0.1,0.0096615124,0.9816204458
4.590,0.1,0.0095654334,0.9816580418
4.600,0.1,0.0094703092,0.9816952612
4.610,0.1,0.0093761305,0.9817321079
4.620,0.1,0.0092828879,0.9817685856
4.630,0.1,0.0091905720,0.9818046981
4.640,0.1,0.0090991737,0.9818404490
4.650,0.1,0.0090086838,0.9818758419
4.660,0.1,0.0089190934,0.9819108805
4.670,0.1,0.0088303934,0.9819455683
4.680,0.1,0.0087425751,0.9819799089
4.690,0.1,0.0086556298,0.9820139057
4.700,0.1,0.0085695486,0.9820475623
4.710,0.1,0.0084843231,0.9820808820
4.720,0.1,0.0083999448,0.9821138682
4.730,0.1,0.0083164052,0.9821465244
4.740,0.1,0.0082336960,0.9821788537
4.750,0.1,0.0081518090,0.9822108596
4.760,0.1,0.0080707360,0.9822425452
4.770,0.1,0.0079904690,0.9822739138
4.780,0.1,0.0079109998,0.9823049685
4.790,0.1,0.0078323206,0.9823357126
4.800,0.1,0.0077544236,0.9823661492
4.810,0.1,0.0076773010,0.9823962812
4.820,0.1,0.0076009450,0.9824261119
4.830,0.1,0.0075253481,0.9824556442
4.840,0.1,0.0074505028,0.9824848812
4.850,0.1,0.0073764015,0.9825138258
4.860,0.1,0.0073030369,0.9825424808
4.870,0.1,0.0072304016,0.9825708494
4.880,0.1,0.0071584885,0.9825989343
4.890,0.1,0.0070872903,0.9826267383
4.900,0.1,0.0070168000,0.9826542644
4.910,0.1,0.0069470104,0.9826815152
4.920,0.1,0.0068779147,0.9827084936
4.930,0.1,0.0068095060,0.9827352023
4.940,0.1,0.0067417774,0.9827616440
4.950,0.1,0.0066747222,0.9827878214
