# Source Data for Fig. 7d: correlated leakage model, gamma = 0.5, k = 1
# Recomputed from the closed forms in the paper, not from the co-author's code.
# Input state alpha = sqrt(0.6), beta = sqrt(0.4).
time,mu,expected_holevo_bits,eve_fidelity
3.530,0.0,0.0245451806,0.9501805845
3.540,0.0,0.0243017172,0.9502625436
3.550,0.0,0.0240606611,0.9503436557
3.560,0.0,0.0238219888,0.9504239298
3.570,0.0,0.0235856767,0.9505033749
3.580,0.0,0.0233517017,0.9505819998
3.590,0.0,0.0231200408,0.9506598133
3.600,0.0,0.0228906713,0.9507368240
3.610,0.0,0.0226635706,0.9508130405
3.620,0.0,0.0224387164,0.9508884712
3.630,0.0,0.0222160866,0.9509631245
3.640,0.0,0.0219956594,0.9510370087
3.650,0.0,0.0217774130,0.9511101319
3.660,0.0,0.0215613261,0.9511825022
3.670,0.0,0.0213473774,0.9512541276
3.680,0.0,0.0211355458,0.9513250161
3.690,0.0,0.0209258105,0.9513951753
3.700,0.0,0.0207181509,0.9514646131
3.710,0.0,0.0205125465,0.9515333372
3.720,0.0,0.0203089772,0.9516013549
3.730,0.0,0.0201074228,0.9516686739
3.740,0.0,0.0199078635,0.9517353015
3.750,0.0,0.0197102798,0.9518012450
3.760,0.0,0.0195146521,0.9518665117
3.770,0.0,0.0193209611,0.9519311086
3.780,0.0,0.0191291879,0.9519950429
3.790,0.0,0.0189393134,0.9520583215
3.800,0.0,0.0187513190,0.9521209514
3.810,0.0,0.0185651863,0.9521829394
3.820,0.0,0.0183808967,0.9522442922
3.830,0.0,0.0181984322,0.9523050165
3.840,0.0,0.0180177747,0.9523651190
3.850,0.0,0.0178389065,0.9524246062
3.860,0.0,0.0176618099,0.9524834844
3.870,0.0,0.0174864675,0.9525417602
3.880,0.0,0.0173128619,0.9525994399
3.890,0.0,0.0171409761,0.9526565297
3.900,0.0,0.0169707930,0.9527130358
3.910,0.0,0.0168022959,0.9527689642
3.920,0.0,0.0166354681,0.9528243212
3.930,0.0,0.0164702933,0.9528791126
3.940,0.0,0.0163067549,0.9529333444
3.950,0.0,0.0161448371,0.9529870223
3.960,0.0,0.0159845236,0.9530401523
3.970,0.0,0.0158257988,0.9530927401
3.980,0.0,0.0156686468,0.9531447912
3.990,0.0,0.0155130523,0.9531963114
4.000,0.0,0.0153589998,0.9532473061
4.010,0.0,0.0152064742,0.9532977808
4.020,0.0,0.0150554602,0.9533477410
4.030,0.0,0.0149059431,0.9533971921
4.040,0.0,0.0147579080,0.9534461392
4.050,0.0,0.0146113403,0.9534945877
4.060,0.0,0.0144662255,0.9535425428
4.070,0.0,0.0143225493,0.9535900096
4.080,0.0,0.0141802974,0.9536369931
4.090,0.0,0.0140394558,0.9536834985
4.100,0.0,0.0139000106,0.9537295306
4.110,0.0,0.0137619479,0.9537750944
4.120,0.0,0.0136252541,0.9538201948
4.130,0.0,0.0134899157,0.9538648365
4.140,0.0,0.0133559193,0.9539090244
4.150,0.0,0.0132232516,0.9539527631
4.160,0.0,0.0130918995,0.9539960572
4.170,0.0,0.0129618500,0.9540389115
4.180,0.0,0.0128330902,0.9540813304
4.190,0.0,0.0127056074,0.9541233185
4.200,0.0,0.0125793889,0.9541648802
4.210,0.0,0.0124544223,0.9542060199
4.220,0.0,0.0123306951,0.9542467421
4.230,0.0,0.0122081952,0.9542870509
4.240,0.0,0.0120869103,0.9543269508
4.250,0.0,0.0119668285,0.9543664458
4.260,0.0,0.0118479379,0.9544055403
4.270,0.0,0.0117302266,0.9544442383
4.280,0.0,0.0116136831,0.9544825439
4.290,0.0,0.0114982958,0.9545204612
4.300,0.0,0.0113840532,0.9545579942
4.310,0.0,0.0112709440,0.9545951468
4.320,0.0,0.0111589571,0.9546319230
4.330,0.0,0.0110480812,0.9546683267
4.340,0.0,0.0109383055,0.9547043616
4.350,0.0,0.0108296190,0.9547400316
4.360,0.0,0.0107220109,0.9547753405
4.370,0.0,0.0106154706,0.9548102919
4.380,0.0,0.0105099875,0.9548448895
4.390,0.0,0.0104055512,0.9548791371
4.400,0.0,0.0103021513,0.9549130381
4.410,0.0,0.0101997775,0.9549465961
4.420,0.0,0.0100984196,0.9549798147
4.430,0.0,0.0099980677,0.9550126973
4.440,0.0,0.0098987118,0.9550452475
4.450,0.0,0.0098003420,0.9550774685
4.460,0.0,0.0097029485,0.9551093638
4.470,0.0,0.0096065216,0.9551409368
4.480,0.0,0.0095110519,0.9551721907
4.490,0.0,0.0094165298,0.9552031288
4.500,0.0,0.0093229460,0.9552337544
4.510,0.0,0.0092302911,0.9552640706
4.520,0.0,0.0091385559,0.9552940806
4.530,0.0,0.0090477314,0.9553237876
4.540,0.0,0.0089578086,0.9553531946
4.550,0.0,0.0088687784,0.9553823048
4.560,0.0,0.0087806321,0.9554111211
4.570,0.0,0.0086933609,0.9554396466
4.580,0.0,0.0086069561,0.9554678843
4.590,0.0,0.0085214092,0.9554958370
4.600,0.0,0.0084367116,0.9555235078
4.610,0.0,0.0083528549,0.9555508994
4.620,0.0,0.0082698309,0.9555780148
4.630,0.0,0.0081876312,0.9556048568
4.640,0.0,0.0081062477,0.9556314281
4.650,0.0,0.0080256723,0.9556577315
4.660,0.0,0.0079458970,0.9556837698
4.670,0.0,0.0078669138,0.9557095456
4.680,0.0,0.0077887150,0.9557350617
4.690,0.0,0.0077112927,0.9557603207
4.700,0.0,0.0076346393,0.9557853251
4.710,0.0,0.0075587471,0.9558100777
4.720,0.0,0.0074836085,0.9558345809
4.730,0.0,0.0074092162,0.9558588374
4.740,0.0,0.0073355627,0.9558828496
4.750,0.0,0.0072626407,0.9559066200
4.760,0.0,0.0071904429,0.9559301511
4.770,0.0,0.0071189622,0.9559534453
4.780,0.0,0.0070481914,0.9559765050
4.790,0.0,0.0069781235,0.9559993326
4.800,0.0,0.0069087516,0.9560219305
4.810,0.0,0.0068400687,0.9560443010
4.820,0.0,0.0067720681,0.9560664465
4.830,0.0,0.0067047429,0.9560883691
4.840,0.0,0.0066380864,0.9561100713
4.850,0.0,0.0065720920,0.9561315551
4.860,0.0,0.0065067532,0.9561528229
4.870,0.0,0.0064420635,0.9561738768
4.880,0.0,0.0063780164,0.9561947190
4.890,0.0,0.0063146055,0.9562153517
4.900,0.0,0.0062518245,0.9562357770
4.910,0.0,0.0061896672,0.9562559969
4.920,0.0,0.0061281274,0.9562760137
4.930,0.0,0.0060671990,0.9562958292
4.940,0.0,0.0060068759,0.9563154457
4.950,0.0,0.0059471521,0.9563348650
4.960,0.0,0.0058880217,0.9563540892
4.970,0.0,0.0058294787,0.9563731203
4.980,0.0,0.0057715174,0.9563919603
4.990,0.0,0.0057141319,0.9564106110
5.000,0.0,0.0056573166,0.9564290744
0.000,0.3,0.7497750884,0.5000000000
0.010,0.3,0.7429393947,0.5058591489
0.020,0.3,0.7361611873,0.5116380950
0.030,0.3,0.7294400717,0.5173380055
0.040,0.3,0.7227756543,0.5229600299
0.050,0.3,0.7161675424,0.5285053001
0.060,0.3,0.7096153446,0.5339749305
0.070,0.3,0.7031186703,0.5393700188
0.080,0.3,0.6966771301,0.5446916458
0.090,0.3,0.6902903356,0.5499408758
0.100,0.3,0.6839578997,0.5551187570
0.110,0.3,0.6776794365,0.5602263216
0.120,0.3,0.6714545613,0.5652645861
0.130,0.3,0.6652828905,0.5702345514
0.140,0.3,0.6591640420,0.5751372035
0.150,0.3,0.6530976350,0.5799735132
0.160,0.3,0.6470832900,0.5847444366
0.170,0.3,0.6411206288,0.5894509153
0.180,0.3,0.6352092747,0.5940938767
0.190,0.3,0.6293488525,0.5986742340
0.200,0.3,0.6235389882,0.6031928867
0.210,0.3,0.6177793097,0.6076507207
0.220,0.3,0.6120694459,0.6120486084
0.230,0.3,0.6064090276,0.6163874091
0.240,0.3,0.6007976870,0.6206679691
0.250,0.3,0.5952350578,0.6248911219
0.260,0.3,0.5897207755,0.6290576883
0.270,0.3,0.5842544770,0.6331684771
0.280,0.3,0.5788358010,0.6372242845
0.290,0.3,0.5734643875,0.6412258950
0.300,0.3,0.5681398787,0.6451740810
0.310,0.3,0.5628619179,0.6490696037
0.320,0.3,0.5576301504,0.6529132124
0.330,0.3,0.5524442233,0.6567056455
0.340,0.3,0.5473037852,0.6604476301
0.350,0.3,0.5422084864,0.6641398825
0.360,0.3,0.5371579791,0.6677831082
0.370,0.3,0.5321519173,0.6713780022
0.380,0.3,0.5271899566,0.6749252490
0.390,0.3,0.5222717544,0.6784255230
0.400,0.3,0.5173969699,0.6818794883
0.410,0.3,0.5125652642,0.6852877993
0.420,0.3,0.5077763000,0.6886511004
0.430,0.3,0.5030297421,0.6919700266
0.440,0.3,0.4983252569,0.6952452033
0.450,0.3,0.4936625126,0.6984772467
0.460,0.3,0.4890411795,0.7016667636
0.470,0.3,0.4844609293,0.7048143519
0.480,0.3,0.4799214361,0.7079206007
0.490,0.3,0.4754223754,0.7109860902
0.500,0.3,0.4709634247,0.7140113920
0.510,0.3,0.4665442635,0.7169970692
0.520,0.3,0.4621645730,0.7199436767
0.530,0.3,0.4578240363,0.7228517610
0.540,0.3,0.4535223385,0.7257218605
0.550,0.3,0.4492591663,0.7285545058
0.560,0.3,0.4450342086,0.7313502194
0.570,0.3,0.4408471560,0.7341095163
0.580,0.3,0.4366977010,0.7368329037
0.590,0.3,0.4325855380,0.7395208816
0.600,0.3,0.4285103634,0.7421739422
0.610,0.3,0.4244718752,0.7447925709
0.620,0.3,0.4204697736,0.7473772455
0.630,0.3,0.4165037604,0.7499284371
0.640,0.3,0.4125735397,0.7524466098
0.650,0.3,0.4086788170,0.7549322207
0.660,0.3,0.4048193000,0.7573857204
0.670,0.3,0.4009946981,0.7598075528
0.680,0.3,0.3972047228,0.7621981552
0.690,0.3,0.3934490874,0.7645579587
0.700,0.3,0.3897275069,0.7668873878
0.710,0.3,0.3860396983,0.7691868611
0.720,0.3,0.3823853806,0.7714567907
0.730,0.3,0.3787642745,0.7736975831
0.740,0.3,0.3751761026,0.7759096385
0.750,0.3,0.3716205895,0.7780933514
0.760,0.3,0.3680974615,0.7802491107
0.770,0.3,0.3646064467,0.7823772994
0.780,0.3,0.3611472753,0.7844782949
0.790,0.3,0.3577196792,0.7865524694
0.800,0.3,0.3543233921,0.7886001893
0.810,0.3,0.3509581497,0.7906218160
0.820,0.3,0.3476236893,0.7926177054
0.830,0.3,0.3443197503,0.7945882085
0.840,0.3,0.3410460738,0.7965336710
0.850,0.3,0.3378024026,0.7984544336
0.860,0.3,0.3345884814,0.8003508321
0.870,0.3,0.3314040570,0.8022231976
0.880,0.3,0.3282488775,0.8040718561
0.890,0.3,0.3251226931,0.8058971292
0.900,0.3,0.3220252558,0.8076993336
0.910,0.3,0.3189563193,0.8094787817
0.920,0.3,0.3159156392,0.8112357811
0.930,0.3,0.3129029725,0.8129706352
0.940,0.3,0.3099180786,0.8146836429
0.950,0.3,0.3069607180,0.8163750989
0.960,0.3,0.3040306535,0.8180452936
0.970,0.3,0.3011276492,0.8196945132
0.980,0.3,0.2982514714,0.8213230398
0.990,0.3,0.2954018876,0.8229311517
1.000,0.3,0.2925786675,0.8245191228
1.010,0.3,0.2897815823,0.8260872233
1.020,0.3,0.2870104048,0.8276357196
1.030,0.3,0.2842649098,0.8291648742
1.040,0.3,0.2815448736,0.8306749459
1.050,0.3,0.2788500742,0.8321661897
1.060,0.3,0.2761802912,0.8336388570
1.070,0.3,0.2735353062,0.8350931958
