# Source Data for Fig. 7d: correlated leakage model, gamma = 0.5, k = 1
# Recomputed from the closed forms in the paper, not from the co-author's code.
# Input state alpha = sqrt(0.6), beta = sqrt(0.4).
time,mu,expected_holevo_bits,eve_fidelity
1.210,0.0,0.2425108428,0.8609821672
1.220,0.0,0.2401770561,0.8621148918
1.230,0.0,0.2378649220,0.8632330819
1.240,0.0,0.2355742562,0.8643369469
1.250,0.0,0.2333048753,0.8654266925
1.260,0.0,0.2310565976,0.8665025215
1.270,0.0,0.2288292422,0.8675646331
1.280,0.0,0.2266226297,0.8686132234
1.290,0.0,0.2244365818,0.8696484856
1.300,0.0,0.2222709214,0.8706706094
1.310,0.0,0.2201254727,0.8716797819
1.320,0.0,0.2180000611,0.8726761869
1.330,0.0,0.2158945130,0.8736600056
1.340,0.0,0.2138086564,0.8746314159
1.350,0.0,0.2117423202,0.8755905933
1.360,0.0,0.2096953346,0.8765377103
1.370,0.0,0.2076675310,0.8774729368
1.380,0.0,0.2056587421,0.8783964398
1.390,0.0,0.2036688016,0.8793083840
1.400,0.0,0.2016975447,0.8802089312
1.410,0.0,0.1997448074,0.8810982409
1.420,0.0,0.1978104272,0.8819764699
1.430,0.0,0.1958942427,0.8828437728
1.440,0.0,0.1939960936,0.8837003014
1.450,0.0,0.1921158210,0.8845462056
1.460,0.0,0.1902532669,0.8853816327
1.470,0.0,0.1884082746,0.8862067276
1.480,0.0,0.1865806887,0.8870216332
1.490,0.0,0.1847703548,0.8878264901
1.500,0.0,0.1829771197,0.8886214367
1.510,0.0,0.1812008313,0.8894066091
1.520,0.0,0.1794413389,0.8901821417
1.530,0.0,0.1776984926,0.8909481666
1.540,0.0,0.1759721439,0.8917048137
1.550,0.0,0.1742621453,0.8924522111
1.560,0.0,0.1725683505,0.8931904850
1.570,0.0,0.1708906145,0.8939197596
1.580,0.0,0.1692287930,0.8946401571
1.590,0.0,0.1675827432,0.8953517979
1.600,0.0,0.1659523234,0.8960548007
1.610,0.0,0.1643373927,0.8967492822
1.620,0.0,0.1627378116,0.8974353575
1.630,0.0,0.1611534416,0.8981131397
1.640,0.0,0.1595841453,0.8987827405
1.650,0.0,0.1580297864,0.8994442697
1.660,0.0,0.1564902297,0.9000978356
1.670,0.0,0.1549653411,0.9007435446
1.680,0.0,0.1534549874,0.9013815019
1.690,0.0,0.1519590368,0.9020118108
1.700,0.0,0.1504773582,0.9026345731
1.710,0.0,0.1490098219,0.9032498892
1.720,0.0,0.1475562989,0.9038578580
1.730,0.0,0.1461166614,0.9044585767
1.740,0.0,0.1446907829,0.9050521414
1.750,0.0,0.1432785375,0.9056386465
1.760,0.0,0.1418798006,0.9062181850
1.770,0.0,0.1404944486,0.9067908487
1.780,0.0,0.1391223587,0.9073567279
1.790,0.0,0.1377634095,0.9079159117
1.800,0.0,0.1364174802,0.9084684878
1.810,0.0,0.1350844513,0.9090145426
1.820,0.0,0.1337642042,0.9095541611
1.830,0.0,0.1324566211,0.9100874274
1.840,0.0,0.1311615855,0.9106144241
1.850,0.0,0.1298789817,0.9111352326
1.860,0.0,0.1286086949,0.9116499333
1.870,0.0,0.1273506115,0.9121586052
1.880,0.0,0.1261046186,0.9126613263
1.890,0.0,0.1248706045,0.9131581734
1.900,0.0,0.1236484581,0.9136492223
1.910,0.0,0.1224380696,0.9141345474
1.920,0.0,0.1212393300,0.9146142225
1.930,0.0,0.1200521310,0.9150883199
1.940,0.0,0.1188763657,0.9155569111
1.950,0.0,0.1177119277,0.9160200665
1.960,0.0,0.1165587117,0.9164778555
1.970,0.0,0.1154166132,0.9169303465
1.980,0.0,0.1142855287,0.9173776069
1.990,0.0,0.1131653555,0.9178197032
2.000,0.0,0.1120559918,0.9182567009
2.010,0.0,0.1109573368,0.9186886647
2.020,0.0,0.1098692905,0.9191156580
2.030,0.0,0.1087917536,0.9195377439
2.040,0.0,0.1077246279,0.9199549840
2.050,0.0,0.1066678159,0.9203674394
2.060,0.0,0.1056212210,0.9207751703
2.070,0.0,0.1045847475,0.9211782360
2.080,0.0,0.1035583004,0.9215766949
2.090,0.0,0.1025417858,0.9219706046
2.100,0.0,0.1015351102,0.9223600221
2.110,0.0,0.1005381813,0.9227450032
2.120,0.0,0.0995509074,0.9231256034
2.130,0.0,0.0985731976,0.9235018771
2.140,0.0,0.0976049621,0.9238738780
2.150,0.0,0.0966461114,0.9242416591
2.160,0.0,0.0956965573,0.9246052727
2.170,0.0,0.0947562119,0.9249647703
2.180,0.0,0.0938249885,0.9253202026
2.190,0.0,0.0929028009,0.9256716199
2.200,0.0,0.0919895637,0.9260190716
2.210,0.0,0.0910851924,0.9263626063
2.220,0.0,0.0901896031,0.9267022722
2.230,0.0,0.0893027127,0.9270381167
2.240,0.0,0.0884244389,0.9273701865
2.250,0.0,0.0875547000,0.9276985278
2.260,0.0,0.0866934152,0.9280231861
2.270,0.0,0.0858405043,0.9283442063
2.280,0.0,0.0849958879,0.9286616326
2.290,0.0,0.0841594873,0.9289755088
2.300,0.0,0.0833312244,0.9292858778
2.310,0.0,0.0825110219,0.9295927823
2.320,0.0,0.0816988031,0.9298962640
2.330,0.0,0.0808944923,0.9301963645
2.340,0.0,0.0800980140,0.9304931244
2.350,0.0,0.0793092938,0.9307865841
2.360,0.0,0.0785282578,0.9310767833
2.370,0.0,0.0777548328,0.9313637611
2.380,0.0,0.0769889461,0.9316475562
2.390,0.0,0.0762305260,0.9319282068
2.400,0.0,0.0754795011,0.9322057505
2.410,0.0,0.0747358009,0.9324802245
2.420,0.0,0.0739993554,0.9327516653
2.430,0.0,0.0732700954,0.9330201092
2.440,0.0,0.0725479521,0.9332855918
2.450,0.0,0.0718328575,0.9335481484
2.460,0.0,0.0711247441,0.9338078136
2.470,0.0,0.0704235452,0.9340646218
2.480,0.0,0.0697291946,0.9343186069
2.490,0.0,0.0690416266,0.9345698022
2.500,0.0,0.0683607763,0.9348182406
2.510,0.0,0.0676865793,0.9350639547
2.520,0.0,0.0670189717,0.9353069767
2.530,0.0,0.0663578905,0.9355473381
2.540,0.0,0.0657032729,0.9357850704
2.550,0.0,0.0650550568,0.9360202042
2.560,0.0,0.0644131809,0.9362527701
2.570,0.0,0.0637775842,0.9364827982
2.580,0.0,0.0631482063,0.9367103182
2.590,0.0,0.0625249875,0.9369353593
2.600,0.0,0.0619078685,0.9371579504
2.610,0.0,0.0612967906,0.9373781202
2.620,0.0,0.0606916957,0.9375958968
2.630,0.0,0.0600925262,0.9378113080
2.640,0.0,0.0594992251,0.9380243813
2.650,0.0,0.0589117357,0.9382351439
2.660,0.0,0.0583300020,0.9384436223
2.670,0.0,0.0577539686,0.9386498432
2.680,0.0,0.0571835806,0.9388538326
2.690,0.0,0.0566187833,0.9390556163
2.700,0.0,0.0560595230,0.9392552196
2.710,0.0,0.0555057461,0.9394526677
2.720,0.0,0.0549573996,0.9396479854
2.730,0.0,0.0544144312,0.9398411972
2.740,0.0,0.0538767888,0.9400323272
2.750,0.0,0.0533444210,0.9402213993
2.760,0.0,0.0528172768,0.9404084372
2.770,0.0,0.0522953057,0.9405934639
2.780,0.0,0.0517784576,0.9407765026
2.790,0.0,0.0512666829,0.9409575759
2.800,0.0,0.0507599325,0.9411367063
2.810,0.0,0.0502581579,0.9413139158
2.820,0.0,0.0497613107,0.9414892263
2.830,0.0,0.0492693433,0.9416626594
2.840,0.0,0.0487822083,0.9418342364
2.850,0.0,0.0482998590,0.9420039784
2.860,0.0,0.0478222489,0.9421719062
2.870,0.0,0.0473493321,0.9423380402
2.880,0.0,0.0468810630,0.9425024008
2.890,0.0,0.0464173965,0.9426650080
2.900,0.0,0.0459582880,0.9428258816
2.910,0.0,0.0455036932,0.9429850411
2.920,0.0,0.0450535683,0.9431425058
2.930,0.0,0.0446078698,0.9432982948
2.940,0.0,0.0441665548,0.9434524269
2.950,0.0,0.0437295806,0.9436049208
2.960,0.0,0.0432969051,0.9437557947
2.970,0.0,0.0428684864,0.9439050668
2.980,0.0,0.0424442832,0.9440527551
2.990,0.0,0.0420242544,0.9441988773
3.000,0.0,0.0416083595,0.9443434509
3.010,0.0,0.0411965582,0.9444864931
3.020,0.0,0.0407888106,0.9446280210
3.030,0.0,0.0403850774,0.9447680516
3.040,0.0,0.0399853193,0.9449066014
3.050,0.0,0.0395894976,0.9450436869
3.060,0.0,0.0391975741,0.9451793244
3.070,0.0,0.0388095108,0.9453135300
3.080,0.0,0.0384252699,0.9454463196
3.090,0.0,0.0380448143,0.9455777088
3.100,0.0,0.0376681070,0.9457077131
3.110,0.0,0.0372951114,0.9458363478
3.120,0.0,0.0369257915,0.9459636281
3.130,0.0,0.0365601112,0.9460895690
3.140,0.0,0.0361980351,0.9462141852
3.150,0.0,0.0358395280,0.9463374912
3.160,0.0,0.0354845550,0.9464595016
3.170,0.0,0.0351330817,0.9465802306
3.180,0.0,0.0347850738,0.9466996922
3.190,0.0,0.0344404976,0.9468179004
3.200,0.0,0.0340993194,0.9469348690
3.210,0.0,0.0337615061,0.9470506115
3.220,0.0,0.0334270247,0.9471651413
3.230,0.0,0.0330958428,0.9472784718
3.240,0.0,0.0327679280,0.9473906160
3.250,0.0,0.0324432485,0.9475015870
3.260,0.0,0.0321217724,0.9476113975
3.270,0.0,0.0318034686,0.9477200601
3.280,0.0,0.0314883060,0.9478275875
3.290,0.0,0.0311762538,0.9479339919
3.300,0.0,0.0308672815,0.9480392856
3.310,0.0,0.0305613592,0.9481434807
3.320,0.0,0.0302584568,0.9482465891
3.330,0.0,0.0299585448,0.9483486226
3.340,0.0,0.0296615939,0.9484495929
3.350,0.0,0.0293675751,0.9485495116
3.360,0.0,0.0290764597,0.9486483899
3.370,0.0,0.0287882192,0.9487462391
3.380,0.0,0.0285028254,0.9488430705
3.390,0.0,0.0282202506,0.9489388950
3.400,0.0,0.0279404669,0.9490337235
3.410,0.0,0.0276634471,0.9491275667
3.420,0.0,0.0273891640,0.9492204353
3.430,0.0,0.0271175908,0.9493123397
3.440,0.0,0.0268487009,0.9494032904
3.450,0.0,0.0265824681,0.9494932977
3.460,0.0,0.0263188661,0.9495823716
3.470,0.0,0.0260578692,0.9496705222
3.480,0.0,0.0257994519,0.9497577595
3.490,0.0,0.0255435888,0.9498440931
3.500,0.0,0.0252902548,0.9499295330
3.510,0.0,0.0250394252,0.9500140885
3.520,0.0,0.0247910752,0.9500977692
