# Source Data for Fig. 6a: Holevo quantity vs damping parameter
# Recomputed from the closed forms in the paper, not from the co-author's code.
gamma,alpha_sq,chi_bits
0.2860,0.20,0.3787962964
0.2880,0.20,0.3768627250
0.2900,0.20,0.3749497193
0.2920,0.20,0.3730572000
0.2940,0.20,0.3711850890
0.2960,0.20,0.3693333095
0.2980,0.20,0.3675017864
0.3000,0.20,0.3656904454
0.3020,0.20,0.3638992137
0.3040,0.20,0.3621280200
0.3060,0.20,0.3603767937
0.3080,0.20,0.3586454660
0.3100,0.20,0.3569339689
0.3120,0.20,0.3552422357
0.3140,0.20,0.3535702009
0.3160,0.20,0.3519178000
0.3180,0.20,0.3502849697
0.3200,0.20,0.3486716479
0.3220,0.20,0.3470777734
0.3240,0.20,0.3455032862
0.3260,0.20,0.3439481272
0.3280,0.20,0.3424122386
0.3300,0.20,0.3408955633
0.3320,0.20,0.3393980454
0.3340,0.20,0.3379196299
0.3360,0.20,0.3364602628
0.3380,0.20,0.3350198911
0.3400,0.20,0.3335984626
0.3420,0.20,0.3321959263
0.3440,0.20,0.3308122319
0.3460,0.20,0.3294473299
0.3480,0.20,0.3281011720
0.3500,0.20,0.3267737105
0.3520,0.20,0.3254648988
0.3540,0.20,0.3241746909
0.3560,0.20,0.3229030420
0.3580,0.20,0.3216499077
0.3600,0.20,0.3204152447
0.3620,0.20,0.3191990106
0.3640,0.20,0.3180011635
0.3660,0.20,0.3168216625
0.3680,0.20,0.3156604674
0.3700,0.20,0.3145175388
0.3720,0.20,0.3133928381
0.3740,0.20,0.3122863274
0.3760,0.20,0.3111979696
0.3780,0.20,0.3101277283
0.3800,0.20,0.3090755678
0.3820,0.20,0.3080414532
0.3840,0.20,0.3070253502
0.3860,0.20,0.3060272254
0.3880,0.20,0.3050470458
0.3900,0.20,0.3040847795
0.3920,0.20,0.3031403949
0.3940,0.20,0.3022138612
0.3960,0.20,0.3013051484
0.3980,0.20,0.3004142270
0.4000,0.20,0.2995410683
0.4020,0.20,0.2986856442
0.4040,0.20,0.2978479270
0.4060,0.20,0.2970278901
0.4080,0.20,0.2962255072
0.4100,0.20,0.2954407528
0.4120,0.20,0.2946736019
