# Source Data for Fig. 7c: burst leakage model, k1 = k2 = k = 1
# Recomputed from the closed forms in the paper, not from the co-author's code.
# Input state alpha = sqrt(0.6), beta = sqrt(0.4).
time,gamma,expected_holevo_bits,eve_fidelity
1.940,0.2,0.1184929512,0.9056349498
1.950,0.2,0.1173139267,0.9063122957
1.960,0.2,0.1161466336,0.9069829018
1.970,0.2,0.1149909553,0.9076468353
1.980,0.2,0.1138467761,0.9083041625
1.990,0.2,0.1127139818,0.9089549493
2.000,0.2,0.1115924589,0.9095992606
2.010,0.2,0.1104820954,0.9102371608
2.020,0.2,0.1093827802,0.9108687139
2.030,0.2,0.1082944034,0.9114939829
2.040,0.2,0.1072168560,0.9121130304
2.050,0.2,0.1061500305,0.9127259183
2.060,0.2,0.1050938200,0.9133327078
2.070,0.2,0.1040481191,0.9139334597
2.080,0.2,0.1030128230,0.9145282340
2.090,0.2,0.1019878283,0.9151170902
2.100,0.2,0.1009730324,0.9157000871
2.110,0.2,0.0999683340,0.9162772832
2.120,0.2,0.0989736324,0.9168487360
2.130,0.2,0.0979888283,0.9174145028
2.140,0.2,0.0970138232,0.9179746402
2.150,0.2,0.0960485195,0.9185292040
2.160,0.2,0.0950928208,0.9190782499
2.170,0.2,0.0941466314,0.9196218327
2.180,0.2,0.0932098568,0.9201600067
2.190,0.2,0.0922824032,0.9206928258
2.200,0.2,0.0913641779,0.9212203433
2.210,0.2,0.0904550892,0.9217426119
2.220,0.2,0.0895550460,0.9222596838
2.230,0.2,0.0886639584,0.9227716108
2.240,0.2,0.0877817373,0.9232784440
2.250,0.2,0.0869082944,0.9237802341
2.260,0.2,0.0860435424,0.9242770314
2.270,0.2,0.0851873949,0.9247688854
2.280,0.2,0.0843397661,0.9252558454
2.290,0.2,0.0835005714,0.9257379601
2.300,0.2,0.0826697269,0.9262152776
2.310,0.2,0.0818471493,0.9266878458
2.320,0.2,0.0810327566,0.9271557118
2.330,0.2,0.0802264672,0.9276189225
