# Source Data for Fig. 7b: sequential leakage model, k1 = k2 = k = 1
# Recomputed from the closed forms in the paper, not from the co-author's code.
# Input state alpha = sqrt(0.6), beta = sqrt(0.4).
time,gamma,expected_holevo_bits,eve_fidelity
0.960,0.1,0.6468347198,0.6725792558
0.970,0.1,0.6435550903,0.6743824379
0.980,0.1,0.6402766862,0.6761807058
0.990,0.1,0.6369998077,0.6779739788
1.000,0.1,0.6337247491,0.6797621782
1.010,0.1,0.6304517986,0.6815452275
1.020,0.1,0.6271812384,0.6833230521
1.030,0.1,0.6239133450,0.6850955794
1.040,0.1,0.6206483893,0.6868627389
1.050,0.1,0.6173866362,0.6886244618
1.060,0.1,0.6141283453,0.6903806815
1.070,0.1,0.6108737706,0.6921313329
1.080,0.1,0.6076231607,0.6938763531
1.090,0.1,0.6043767590,0.6956156808
1.100,0.1,0.6011348036,0.6973492565
1.110,0.1,0.5978975273,0.6990770224
1.120,0.1,0.5946651581,0.7007989226
1.130,0.1,0.5914379187,0.7025149026
1.140,0.1,0.5882160272,0.7042249099
1.150,0.1,0.5849996967,0.7059288935
1.160,0.1,0.5817891353,0.7076268038
1.170,0.1,0.5785845469,0.7093185930
1.180,0.1,0.5753861303,0.7110042150
1.190,0.1,0.5721940800,0.7126836247
1.200,0.1,0.5690085860,0.7143567792
1.210,0.1,0.5658298339,0.7160236364
1.220,0.1,0.5626580048,0.7176841561
1.230,0.1,0.5594932758,0.7193382995
1.240,0.1,0.5563358195,0.7209860289
1.250,0.1,0.5531858046,0.7226273082
1.260,0.1,0.5500433955,0.7242621028
1.270,0.1,0.5469087528,0.7258903790
1.280,0.1,0.5437820330,0.7275121049
1.290,0.1,0.5406633889,0.7291272494
1.300,0.1,0.5375529692,0.7307357832
1.310,0.1,0.5344509191,0.7323376777
1.320,0.1,0.5313573800,0.7339329058
1.330,0.1,0.5282724896,0.7355214417
1.340,0.1,0.5251963820,0.7371032606
1.350,0.1,0.5221291880,0.7386783389
1.360,0.1,0.5190710347,0.7402466540
1.370,0.1,0.5160220458,0.7418081847
1.380,0.1,0.5129823417,0.7433629106
1.390,0.1,0.5099520396,0.7449108127
1.400,0.1,0.5069312533,0.7464518727
1.410,0.1,0.5039200934,0.7479860736
1.420,0.1,0.5009186675,0.7495133993
1.430,0.1,0.4979270799,0.7510338347
1.440,0.1,0.4949454321,0.7525473658
1.450,0.1,0.4919738223,0.7540539794
1.460,0.1,0.4890123461,0.7555536632
1.470,0.1,0.4860610960,0.7570464062
1.480,0.1,0.4831201617,0.7585321978
1.490,0.1,0.4801896301,0.7600110286
1.500,0.1,0.4772695854,0.7614828902
1.510,0.1,0.4743601090,0.7629477746
1.520,0.1,0.4714612796,0.7644056752
1.530,0.1,0.4685731735,0.7658565857
1.540,0.1,0.4656958643,0.7673005010
1.550,0.1,0.4628294230,0.7687374167
1.560,0.1,0.4599739182,0.7701673290
1.570,0.1,0.4571294162,0.7715902351
1.580,0.1,0.4542959806,0.7730061329
1.590,0.1,0.4514736728,0.7744150209
1.600,0.1,0.4486625520,0.7758168984
1.610,0.1,0.4458626748,0.7772117655
1.620,0.1,0.4430740960,0.7785996229
1.630,0.1,0.4402968678,0.7799804720
1.640,0.1,0.4375310405,0.7813543148
1.650,0.1,0.4347766621,0.7827211540
1.660,0.1,0.4320337786,0.7840809931
1.670,0.1,0.4293024341,0.7854338359
1.680,0.1,0.4265826703,0.7867796872
1.690,0.1,0.4238745273,0.7881185520
1.700,0.1,0.4211780431,0.7894504362
1.710,0.1,0.4184932538,0.7907753461
1.720,0.1,0.4158201936,0.7920932887
1.730,0.1,0.4131588949,0.7934042714
1.740,0.1,0.4105093883,0.7947083023
1.750,0.1,0.4078717027,0.7960053898
1.760,0.1,0.4052458651,0.7972955432
1.770,0.1,0.4026319008,0.7985787719
1.780,0.1,0.4000298337,0.7998550860
1.790,0.1,0.3974396856,0.8011244960
1.800,0.1,0.3948614770,0.8023870131
1.810,0.1,0.3922952269,0.8036426486
1.820,0.1,0.3897409523,0.8048914146
