# Source Data for Fig. 6b: Holevo quantity vs input-state amplitude
# Recomputed from the closed forms in the paper, not from the co-author's code.
alpha_sq,gamma,chi_bits
0.1800,0.20,0.4631558868
0.1820,0.20,0.4651289233
0.1840,0.20,0.4670999863
0.1860,0.20,0.4690690710
0.1880,0.20,0.4710361722
0.1900,0.20,0.4730012850
0.1920,0.20,0.4749644045
0.1940,0.20,0.4769255254
0.1960,0.20,0.4788846429
0.1980,0.20,0.4808417517
0.2000,0.20,0.4827968468
0.2020,0.20,0.4847499231
0.2040,0.20,0.4867009754
0.2060,0.20,0.4886499986
0.2080,0.20,0.4905969875
0.2100,0.20,0.4925419368
0.2120,0.20,0.4944848413
0.2140,0.20,0.4964256958
0.2160,0.20,0.4983644951
0.2180,0.20,0.5003012337
0.2200,0.20,0.5022359065
0.2220,0.20,0.5041685080
0.2240,0.20,0.5060990329
0.2260,0.20,0.5080274758
0.2280,0.20,0.5099538314
0.2300,0.20,0.5118780941
0.2320,0.20,0.5138002586
0.2340,0.20,0.5157203193
0.2360,0.20,0.5176382708
0.2380,0.20,0.5195541076
0.2400,0.20,0.5214678240
0.2420,0.20,0.5233794146
0.2440,0.20,0.5252888738
0.2460,0.20,0.5271961959
0.2480,0.20,0.5291013753
0.2500,0.20,0.5310044064
0.2520,0.20,0.5329052834
0.2540,0.20,0.5348040007
0.2560,0.20,0.5367005526
0.2580,0.20,0.5385949331
0.2600,0.20,0.5404871367
0.2620,0.20,0.5423771575
0.2640,0.20,0.5442649896
0.2660,0.20,0.5461506272
0.2680,0.20,0.5480340644
0.2700,0.20,0.5499152953
0.2720,0.20,0.5517943140
0.2740,0.20,0.5536711146
0.2760,0.20,0.5555456909
0.2780,0.20,0.5574180371
0.2800,0.20,0.5592881471
0.2820,0.20,0.5611560148
0.2840,0.20,0.5630216341
0.2860,0.20,0.5648849990
0.2880,0.20,0.5667461032
0.2900,0.20,0.5686049407
0.2920,0.20,0.5704615051
0.2940,0.20,0.5723157904
0.2960,0.20,0.5741677902
0.2980,0.20,0.5760174982
0.3000,0.20,0.5778649083
0.3020,0.20,0.5797100139
0.3040,0.20,0.5815528088
0.3060,0.20,0.5833932865
0.3080,0.20,0.5852314407
0.3100,0.20,0.5870672649
0.3120,0.20,0.5889007526
0.3140,0.20,0.5907318973
0.3160,0.20,0.5925606925
0.3180,0.20,0.5943871315
0.3200,0.20,0.5962112079
0.3220,0.20,0.5980329150
